年份	起征点	子女教育	继续教育	大病医疗	住房贷款利息	住房租金	赡养老人	3岁以下婴幼儿照护
1980	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1981	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1982	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1983	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1984	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1985	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1986	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1987	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1988	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1989	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1990	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1991	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1992	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1993	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1994	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1995	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1996	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1997	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1998	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
1999	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2000	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2001	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2002	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2003	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2004	800*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2005	1600*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2006	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2007	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2008	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2009	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2010	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2011	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2012	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2013	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2014	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2015	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2016	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2017	TODO	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2018	5000*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2019	5000*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2020	5000*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2021	5000*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2022	5000*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
2023	5000*12	TODO	TODO	TODO	TODO	TODO	TODO	TODO
